2026-05-22 11:29:11 | INFO     | src.utils.utils                | Logging initialized — level=INFO  file=logs\run_20260522_142911.log
2026-05-22 11:29:11 | INFO     | __main__                       | === gestionHvsA-adrsArgy | mode=live ===
2026-05-22 11:29:11 | INFO     | __main__                       | Live mode: 18 months | 2024-01 → 2025-06
2026-05-22 11:29:11 | INFO     | src.utils.utils                | [START] live 2024-01
2026-05-22 11:29:11 | INFO     | src.data.loader                | Starting live-month download: 2024-10-01 → 2024-01-31 (cutoff: 2024-01-31) | tickers: ['YPF', 'GGAL', 'BMA', 'PAM', 'TGS', 'CEPU', 'EDN', 'LOMA', 'CRESY', 'IRS']
2026-05-22 11:29:15 | ERROR    | yfinance                       | $YPF: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:15 | WARNING  | src.data.downloader            | [YPF] yfinance returned empty DataFrame
2026-05-22 11:29:16 | ERROR    | yfinance                       | $GGAL: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:16 | WARNING  | src.data.downloader            | [GGAL] yfinance returned empty DataFrame
2026-05-22 11:29:18 | ERROR    | yfinance                       | $BMA: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:18 | WARNING  | src.data.downloader            | [BMA] yfinance returned empty DataFrame
2026-05-22 11:29:20 | ERROR    | yfinance                       | $PAM: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:20 | WARNING  | src.data.downloader            | [PAM] yfinance returned empty DataFrame
2026-05-22 11:29:21 | ERROR    | yfinance                       | $TGS: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:21 | WARNING  | src.data.downloader            | [TGS] yfinance returned empty DataFrame
2026-05-22 11:29:22 | ERROR    | yfinance                       | $CEPU: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:22 | WARNING  | src.data.downloader            | [CEPU] yfinance returned empty DataFrame
2026-05-22 11:29:24 | ERROR    | yfinance                       | $EDN: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:24 | WARNING  | src.data.downloader            | [EDN] yfinance returned empty DataFrame
2026-05-22 11:29:25 | ERROR    | yfinance                       | $LOMA: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:25 | WARNING  | src.data.downloader            | [LOMA] yfinance returned empty DataFrame
2026-05-22 11:29:26 | ERROR    | yfinance                       | $CRESY: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:26 | WARNING  | src.data.downloader            | [CRESY] yfinance returned empty DataFrame
2026-05-22 11:29:28 | ERROR    | yfinance                       | $IRS: possibly delisted; no price data found  (1wk 2024-10-01 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1727755200, endDate = 1706677200")
2026-05-22 11:29:28 | WARNING  | src.data.downloader            | [IRS] yfinance returned empty DataFrame
