2026-05-22 10:43:54 | INFO     | src.utils.utils                | Logging initialized — level=INFO  file=logs\run_20260522_134354.log
2026-05-22 10:43:54 | INFO     | __main__                       | === gestionHvsA-adrsArgy | mode=live ===
2026-05-22 10:43:54 | INFO     | __main__                       | Live mode: 6 months | 2024-01 → 2024-06
2026-05-22 10:43:54 | INFO     | src.utils.utils                | [START] live 2024-01
2026-05-22 10:43:54 | INFO     | src.data.loader                | Starting live-month download: 2024-02-03 → 2024-01-31 (cutoff: 2024-01-31) | tickers: ['YPF', 'GGAL', 'BMA', 'PAM', 'TGS', 'CEPU', 'EDN', 'LOMA', 'CRESY', 'IRS']
2026-05-22 10:43:58 | ERROR    | yfinance                       | $YPF: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:43:58 | WARNING  | src.data.downloader            | [YPF] yfinance returned empty DataFrame
2026-05-22 10:43:59 | ERROR    | yfinance                       | $GGAL: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:43:59 | WARNING  | src.data.downloader            | [GGAL] yfinance returned empty DataFrame
2026-05-22 10:44:01 | ERROR    | yfinance                       | $BMA: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:44:01 | WARNING  | src.data.downloader            | [BMA] yfinance returned empty DataFrame
2026-05-22 10:44:02 | ERROR    | yfinance                       | $PAM: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:44:02 | WARNING  | src.data.downloader            | [PAM] yfinance returned empty DataFrame
2026-05-22 10:44:04 | ERROR    | yfinance                       | $TGS: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:44:04 | WARNING  | src.data.downloader            | [TGS] yfinance returned empty DataFrame
2026-05-22 10:44:05 | ERROR    | yfinance                       | $CEPU: possibly delisted; no price data found  (1wk 2024-02-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1706936400, endDate = 1706677200")
2026-05-22 10:44:05 | WARNING  | src.data.downloader            | [CEPU] yfinance returned empty DataFrame
