2026-05-22 10:50:00 | INFO     | src.utils.utils                | Logging initialized — level=INFO  file=logs\run_20260522_135000.log
2026-05-22 10:50:00 | INFO     | __main__                       | === gestionHvsA-adrsArgy | mode=live ===
2026-05-22 10:50:00 | INFO     | __main__                       | Live mode: 6 months | 2024-01 → 2024-06
2026-05-22 10:50:00 | INFO     | src.utils.utils                | [START] live 2024-01
2026-05-22 10:50:00 | INFO     | src.data.loader                | Starting live-month download: 2024-01-01 → 2024-01-31 (cutoff: 2024-01-31) | tickers: ['YPF', 'GGAL', 'BMA', 'PAM', 'TGS', 'CEPU', 'EDN', 'LOMA', 'CRESY', 'IRS']
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [YPF] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [GGAL] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [BMA] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [PAM] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [TGS] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [CEPU] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [EDN] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [LOMA] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [CRESY] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:08 | INFO     | src.data.downloader            | [IRS] 5 weekly rows (2024-01-01 → 2024-01-29)
2026-05-22 10:50:11 | ERROR    | yfinance                       | HTTP Error 404: {"quoteSummary":{"result":null,"error":{"code":"Not Found","description":"Quote not found for symbol: AL30D.BA"}}}
2026-05-22 10:50:12 | ERROR    | yfinance                       | $AL30D.BA: possibly delisted; no timezone found
