2026-05-24 12:30:59 | INFO     | src.utils.utils                | Logging initialized — level=INFO  file=logs\run_20260524_153059.log
2026-05-24 12:30:59 | INFO     | __main__                       | === gestionHvsA-adrsArgy | mode=live ===
2026-05-24 12:30:59 | INFO     | __main__                       | Live mode: 24 months | 2024-01 → 2025-12
2026-05-24 12:30:59 | INFO     | src.utils.utils                | [START] live 2024-01
2026-05-24 12:30:59 | INFO     | src.data.loader                | Starting live-month download: 2026-01-03 → 2024-01-31 (cutoff: 2024-01-31) | tickers: ['YPF', 'GGAL', 'BMA', 'PAM', 'TGS', 'CEPU', 'EDN', 'LOMA', 'CRESY', 'IRS']
2026-05-24 12:31:03 | ERROR    | yfinance                       | $YPF: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
2026-05-24 12:31:03 | WARNING  | src.data.downloader            | [YPF] yfinance returned empty DataFrame
2026-05-24 12:31:04 | ERROR    | yfinance                       | $GGAL: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
2026-05-24 12:31:04 | WARNING  | src.data.downloader            | [GGAL] yfinance returned empty DataFrame
2026-05-24 12:31:05 | ERROR    | yfinance                       | $BMA: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
2026-05-24 12:31:05 | WARNING  | src.data.downloader            | [BMA] yfinance returned empty DataFrame
2026-05-24 12:31:06 | ERROR    | yfinance                       | $PAM: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
2026-05-24 12:31:06 | WARNING  | src.data.downloader            | [PAM] yfinance returned empty DataFrame
2026-05-24 12:31:07 | ERROR    | yfinance                       | $TGS: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
2026-05-24 12:31:07 | WARNING  | src.data.downloader            | [TGS] yfinance returned empty DataFrame
2026-05-24 12:31:08 | ERROR    | yfinance                       | $CEPU: possibly delisted; no price data found  (1wk 2026-01-03 -> 2024-01-31) (Yahoo error = "Invalid input - start date cannot be after end date. startDate = 1767416400, endDate = 1706677200")
